book_title,book_author,film_title,film_year,fiction_work_raw,film_adaptation_raw,exclusion_reason
Journey to the West,Wu Cheng'en,The Monkey King (西游記之大鬧天宮; Xī Yóu Jì Dà Nào Tiān Gōng),2014,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",The Monkey King (西游記之大鬧天宮; Xī Yóu Jì Dà Nào Tiān Gōng) (2014),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,Monkey King: Hero Is Back (西游记之大圣归来; Xīyóu jì zhī dà shèng guīlái),2015,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",Monkey King: Hero Is Back (西游记之大圣归来; Xīyóu jì zhī dà shèng guīlái) (2015),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,The Monkey King 2 (西遊記之孫悟空三打白骨精; Xī yóu jì Sūn Wùkōng sān dǎ báigǔjīng),2016,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",The Monkey King 2 (西遊記之孫悟空三打白骨精; Xī yóu jì Sūn Wùkōng sān dǎ báigǔjīng) (2016),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,A Chinese Odyssey Part Three (大话西游3),2016,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",A Chinese Odyssey Part Three (大话西游3) (2016),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,Journey to the West: The Demons Strike Back (西遊伏妖篇),2017,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",Journey to the West: The Demons Strike Back (西遊伏妖篇) (2017),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,The Monkey King 3 (西遊記女兒國; Xī yóu jì nǚ'ér guó),2018,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",The Monkey King 3 (西遊記女兒國; Xī yóu jì nǚ'ér guó) (2018),book_published_1850_or_earlier_or_unknown_year
Journey to the West,Wu Cheng'en,The Monkey King,2023,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",The Monkey King (2023),book_published_1850_or_earlier_or_unknown_year
The Lady of the Camellias,"Alexandre Dumas, fils",Camille 2000,2000,"The Lady of the Camellias (French: La Dame aux Camélias) (1848), Alexandre Dumas, fils",Camille 2000 (1969),book_published_1850_or_earlier_or_unknown_year
The Lady of the Camellias,"Alexandre Dumas, fils",The Lady of the Camellias,1981,"The Lady of the Camellias (French: La Dame aux Camélias) (1848), Alexandre Dumas, fils",The Lady of the Camellias (1981),book_published_1850_or_earlier_or_unknown_year
The Lady of the Camellias,"Alexandre Dumas, fils",Camille,1984,"The Lady of the Camellias (French: La Dame aux Camélias) (1848), Alexandre Dumas, fils",Camille (1984),book_published_1850_or_earlier_or_unknown_year
The Lady of the Camellias,"Alexandre Dumas, fils",The Lady of the Camellias,1994,"The Lady of the Camellias (French: La Dame aux Camélias) (1848), Alexandre Dumas, fils",The Lady of the Camellias (Polish: Dama kameliowa) (1994),book_published_1850_or_earlier_or_unknown_year
The Last of the Mohicans,James Fenimore Cooper,The Last of the Mohicans,1987,"The Last of the Mohicans (1826), James Fenimore Cooper",The Last of the Mohicans (1987),book_published_1850_or_earlier_or_unknown_year
The Last of the Mohicans,James Fenimore Cooper,The Last of the Mohicans,1992,"The Last of the Mohicans (1826), James Fenimore Cooper",The Last of the Mohicans (1992),book_published_1850_or_earlier_or_unknown_year
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,A Cock and Bull Story,2006,"The Life and Opinions of Tristram Shandy, Gentleman (1759–1767), Laurence Sterne",A Cock and Bull Story (2006),book_published_1850_or_earlier_or_unknown_year
Nicholas Nickleby,Charles Dickens,Nicholas Nickleby,1985,"Nicholas Nickleby (serialised 1838–1839, published as a book 1839), Charles Dickens",Nicholas Nickleby (1985),book_published_1850_or_earlier_or_unknown_year
Nicholas Nickleby,Charles Dickens,The Life and Adventures of Nicholas Nickleby,2001,"Nicholas Nickleby (serialised 1838–1839, published as a book 1839), Charles Dickens",The Life and Adventures of Nicholas Nickleby (2001),book_published_1850_or_earlier_or_unknown_year
Nicholas Nickleby,Charles Dickens,Nicholas Nickleby,2002,"Nicholas Nickleby (serialised 1838–1839, published as a book 1839), Charles Dickens",Nicholas Nickleby (2002),book_published_1850_or_earlier_or_unknown_year
Odyssey,Homer,The Odyssey,1987,"Odyssey (8th century BC), Homer",The Odyssey (1987),book_published_1850_or_earlier_or_unknown_year
Odyssey,Homer,Ulysses' Gaze,1995,"Odyssey (8th century BC), Homer","Ulysses' Gaze (Greek: Το βλέμμα του Οδυσσέα, To Vlemma tou Odyssea) (1995)",book_published_1850_or_earlier_or_unknown_year
Odyssey,Homer,"O Brother, Where Art Thou?",2000,"Odyssey (8th century BC), Homer","O Brother, Where Art Thou? (2000)",book_published_1850_or_earlier_or_unknown_year
Odyssey,Homer,Odysseus and the Isle of the Mists,2007,"Odyssey (8th century BC), Homer",Odysseus and the Isle of the Mists (2007),book_published_1850_or_earlier_or_unknown_year
The Old Curiosity Shop,Charles Dickens,The Old Curiosity Shop,1984,"The Old Curiosity Shop (serialised 1840–1841, published as a book 1841), Charles Dickens",The Old Curiosity Shop (1984),book_published_1850_or_earlier_or_unknown_year
The Old Curiosity Shop,Charles Dickens,The Old Curiosity Shop,1995,"The Old Curiosity Shop (serialised 1840–1841, published as a book 1841), Charles Dickens",The Old Curiosity Shop (1995),book_published_1850_or_earlier_or_unknown_year
The Old Curiosity Shop,Charles Dickens,The Old Curiosity Shop,2007,"The Old Curiosity Shop (serialised 1840–1841, published as a book 1841), Charles Dickens",The Old Curiosity Shop (2007),book_published_1850_or_earlier_or_unknown_year
Oliver Twist,Charles Dickens,"Oliver Twist (1982, Hallmark Hall of Fame) (TV)",1982,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens","Oliver Twist (1982, Hallmark Hall of Fame) (TV)",book_published_1850_or_earlier_or_unknown_year
Oliver Twist,Charles Dickens,"Oliver Twist (1982, Burbank Films Australia) (TV)",1982,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens","Oliver Twist (1982, Burbank Films Australia) (TV)",book_published_1850_or_earlier_or_unknown_year
Oliver Twist,Charles Dickens,Oliver & Company,1988,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",Oliver & Company (1988),book_published_1850_or_earlier_or_unknown_year
Oliver Twist,Charles Dickens,Oliver Twist,1997,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",Oliver Twist (1997),book_published_1850_or_earlier_or_unknown_year
Oliver Twist,Charles Dickens,Twist,2003,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",Twist (2003),book_published_1850_or_earlier_or_unknown_year
Oliver Twist,Charles Dickens,Boy called Twist,2004,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",Boy called Twist (2004),book_published_1850_or_earlier_or_unknown_year
Oliver Twist,Charles Dickens,Oliver Twist,2005,"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",Oliver Twist (2005),book_published_1850_or_earlier_or_unknown_year
The Pickwick Papers,Charles Dickens,The Pickwick Papers,1985,"The Pickwick Papers (serialised 1836–1837, published as a book 1837), Charles Dickens",The Pickwick Papers (1985),book_published_1850_or_earlier_or_unknown_year
The Pickwick Papers,Charles Dickens,Ghost Stories from the Pickwick Papers,1987,"The Pickwick Papers (serialised 1836–1837, published as a book 1837), Charles Dickens",Ghost Stories from the Pickwick Papers (1987),book_published_1850_or_earlier_or_unknown_year
Pride and Prejudice,Jane Austen,Pride & Prejudice: A Latter-Day Comedy,2003,"Pride and Prejudice (1813), Jane Austen",Pride & Prejudice: A Latter-Day Comedy (2003),book_published_1850_or_earlier_or_unknown_year
Pride and Prejudice,Jane Austen,Bride and Prejudice,2004,"Pride and Prejudice (1813), Jane Austen",Bride and Prejudice (2004),book_published_1850_or_earlier_or_unknown_year
Pride and Prejudice,Jane Austen,Pride & Prejudice,2005,"Pride and Prejudice (1813), Jane Austen",Pride & Prejudice (2005),book_published_1850_or_earlier_or_unknown_year
Robinson Crusoe,Daniel Defoe,Robinson Crusoe mercante di York,1981,"Robinson Crusoe (1719), Daniel Defoe",Robinson Crusoe mercante di York (1981),book_published_1850_or_earlier_or_unknown_year
Robinson Crusoe,Daniel Defoe,"Adventures of Robinson Crusoe, a Sailor from York",1982,"Robinson Crusoe (1719), Daniel Defoe","Adventures of Robinson Crusoe, a Sailor from York (Czech: Dobrodružství Robinsona Crusoe, námořníka z Yorku) (1982)",book_published_1850_or_earlier_or_unknown_year
Robinson Crusoe,Daniel Defoe,Crusoe,1988,"Robinson Crusoe (1719), Daniel Defoe",Crusoe (1988),book_published_1850_or_earlier_or_unknown_year
Robinson Crusoe,Daniel Defoe,Robinson and Company,1991,"Robinson Crusoe (1719), Daniel Defoe",Robinson and Company (French: Robinson et compagnie) (1991),book_published_1850_or_earlier_or_unknown_year
Robinson Crusoe,Daniel Defoe,Robinson Crusoe,1997,"Robinson Crusoe (1719), Daniel Defoe",Robinson Crusoe (1997),book_published_1850_or_earlier_or_unknown_year
Robinson Crusoe,Daniel Defoe,Robinson Crusoe,2004,"Robinson Crusoe (1719), Daniel Defoe",Robinson Crusoe (Greek: Rovinsonas Krousos) (2004),book_published_1850_or_earlier_or_unknown_year
Robinson Crusoe,Daniel Defoe,Robinson Crusoe on Sin Island,2005,"Robinson Crusoe (1719), Daniel Defoe",Robinson Crusoe on Sin Island (2005),book_published_1850_or_earlier_or_unknown_year
Robinson Crusoe,Daniel Defoe,Robinson Crusoe: The Great Blitzkrieg,2008,"Robinson Crusoe (1719), Daniel Defoe",Robinson Crusoe: The Great Blitzkrieg (2008),book_published_1850_or_earlier_or_unknown_year
Robinson Crusoe,Daniel Defoe,Robinson Crusoe & Cuma,2015,"Robinson Crusoe (1719), Daniel Defoe",Robinson Crusoe & Cuma (2015),book_published_1850_or_earlier_or_unknown_year
Robinson Crusoe,Daniel Defoe,Robinson Crusoe,2016,"Robinson Crusoe (1719), Daniel Defoe",Robinson Crusoe (2016),book_published_1850_or_earlier_or_unknown_year
Romance of the Three Kingdoms,Luo Guanzhong,Sangokushi (三国志),1985,"Romance of the Three Kingdoms (三國演義; Sānguó Yǎnyì) (14th century), Luo Guanzhong",Sangokushi (三国志) (1985),book_published_1850_or_earlier_or_unknown_year
Romance of the Three Kingdoms,Luo Guanzhong,Sangokushi II: Amakakeru Otoko-tachi (三国志II 天翔ける英雄たち),1986,"Romance of the Three Kingdoms (三國演義; Sānguó Yǎnyì) (14th century), Luo Guanzhong",Sangokushi II: Amakakeru Otoko-tachi (三国志II 天翔ける英雄たち) (1986),book_published_1850_or_earlier_or_unknown_year
Romance of the Three Kingdoms,Luo Guanzhong,Sangokushi (1): Eiyū-tachi no Yoake (三国志（第1部） 英雄たちの夜明け),1992,"Romance of the Three Kingdoms (三國演義; Sānguó Yǎnyì) (14th century), Luo Guanzhong",Sangokushi (1): Eiyū-tachi no Yoake (三国志（第1部） 英雄たちの夜明け) (1992),book_published_1850_or_earlier_or_unknown_year
Romance of the Three Kingdoms,Luo Guanzhong,Sangokushi (2): Chōkō Moyu! (三国志（第2部） 長江燃ゆ！),1993,"Romance of the Three Kingdoms (三國演義; Sānguó Yǎnyì) (14th century), Luo Guanzhong",Sangokushi (2): Chōkō Moyu! (三国志（第2部） 長江燃ゆ！) (1993),book_published_1850_or_earlier_or_unknown_year
Romance of the Three Kingdoms,Luo Guanzhong,Sangokushi (3): Harukanaru Taichi (三国志（第3部） 遥かなる大地),1994,"Romance of the Three Kingdoms (三國演義; Sānguó Yǎnyì) (14th century), Luo Guanzhong",Sangokushi (3): Harukanaru Taichi (三国志（第3部） 遥かなる大地) (1994),book_published_1850_or_earlier_or_unknown_year
Romance of the Three Kingdoms,Luo Guanzhong,Three Kingdoms: Resurrection of the Dragon (三國之見龍卸甲; Sān Guó Zhī Jiàn Lóng Xiè Jiǎ),2008,"Romance of the Three Kingdoms (三國演義; Sānguó Yǎnyì) (14th century), Luo Guanzhong",Three Kingdoms: Resurrection of the Dragon (三國之見龍卸甲; Sān Guó Zhī Jiàn Lóng Xiè Jiǎ) (2008),book_published_1850_or_earlier_or_unknown_year
Romance of the Three Kingdoms,Luo Guanzhong,Red Cliff (赤壁; Chì Bì) (2008–09),2008,"Romance of the Three Kingdoms (三國演義; Sānguó Yǎnyì) (14th century), Luo Guanzhong",Red Cliff (赤壁; Chì Bì) (2008–09),book_published_1850_or_earlier_or_unknown_year
Romance of the Three Kingdoms,Luo Guanzhong,The Lost Bladesman (關雲長; Guān Yún cháng),2011,"Romance of the Three Kingdoms (三國演義; Sānguó Yǎnyì) (14th century), Luo Guanzhong",The Lost Bladesman (關雲長; Guān Yún cháng) (2011),book_published_1850_or_earlier_or_unknown_year
Romance of the Three Kingdoms,Luo Guanzhong,The Assassins (铜雀台; Tóng Què Tái),2012,"Romance of the Three Kingdoms (三國演義; Sānguó Yǎnyì) (14th century), Luo Guanzhong",The Assassins (铜雀台; Tóng Què Tái) (2012),book_published_1850_or_earlier_or_unknown_year
Romance of the Three Kingdoms,Luo Guanzhong,Dynasty Warriors (真·三国无双; Zhēn Sān Guó Wú Shuāng),2021,"Romance of the Three Kingdoms (三國演義; Sānguó Yǎnyì) (14th century), Luo Guanzhong",Dynasty Warriors (真·三国无双; Zhēn Sān Guó Wú Shuāng) (2021),book_published_1850_or_earlier_or_unknown_year
The Scarlet Letter,Nathaniel Hawthorne,The Scarlet Letter,1995,"The Scarlet Letter (1850), Nathaniel Hawthorne",The Scarlet Letter (1995),book_published_1850_or_earlier_or_unknown_year
Sense and Sensibility,Jane Austen,Sense and Sensibility,1995,"Sense and Sensibility (1811), Jane Austen",Sense and Sensibility (1995),book_published_1850_or_earlier_or_unknown_year
Sense and Sensibility,Jane Austen,Kandukondain Kandukondain,2000,"Sense and Sensibility (1811), Jane Austen",Kandukondain Kandukondain (2000),book_published_1850_or_earlier_or_unknown_year
Sense and Sensibility,Jane Austen,From Prada to Nada,2011,"Sense and Sensibility (1811), Jane Austen",From Prada to Nada (2011),book_published_1850_or_earlier_or_unknown_year
The Swiss Family Robinson,Johann David Wyss,Swiss Family Robinson,1996,"The Swiss Family Robinson (French: Der Schweizerische Robinson) (1812), Johann David Wyss",Swiss Family Robinson (1996),book_published_1850_or_earlier_or_unknown_year
The Swiss Family Robinson,Johann David Wyss,The Adventures of Swiss Family Robinson,1998,"The Swiss Family Robinson (French: Der Schweizerische Robinson) (1812), Johann David Wyss",The Adventures of Swiss Family Robinson (1998),book_published_1850_or_earlier_or_unknown_year
The Swiss Family Robinson,Johann David Wyss,Beverly Hills Family Robinson,1997,"The Swiss Family Robinson (French: Der Schweizerische Robinson) (1812), Johann David Wyss",Beverly Hills Family Robinson (1997),book_published_1850_or_earlier_or_unknown_year
The Swiss Family Robinson,Johann David Wyss,The New Swiss Family Robinson,1999,"The Swiss Family Robinson (French: Der Schweizerische Robinson) (1812), Johann David Wyss",The New Swiss Family Robinson (1999),book_published_1850_or_earlier_or_unknown_year
The Swiss Family Robinson,Johann David Wyss,Stranded,2002,"The Swiss Family Robinson (French: Der Schweizerische Robinson) (1812), Johann David Wyss",Stranded (2002),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",The Crazy Story of the Three Musketeers,1983,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",The Crazy Story of the Three Musketeers (Spanish: La loca historia de los tres mosqueteros) (1983),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",D'Artagnan Junior,1984,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",D'Artagnan Junior (French: Le Fou du roi) (1984),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",The Three Musketeers,1986,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",The Three Musketeers (1986),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",The Three Mouseketeers,1988,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",The Three Mouseketeers (Romanian: Uimitoarele aventuri ale muschetarilor) (1988),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père","The Three Musketeers Anime: Aramis' Adventure (アニメ三銃士 アラミスの冒険, Anime Sanjūshi: Aramisu no Bōken)",1989,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père","The Three Musketeers Anime: Aramis' Adventure (アニメ三銃士 アラミスの冒険, Anime Sanjūshi: Aramisu no Bōken) (1989)",book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père","Kero Kero Keroppi's Three Musketeers (けろけろけろっぴの三銃士, Kero Kero Keroppi no Sanjūshi)",1991,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père","Kero Kero Keroppi's Three Musketeers (けろけろけろっぴの三銃士, Kero Kero Keroppi no Sanjūshi) (1991)",book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",The Three Musketeers,1992,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",The Three Musketeers (1992),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",The Erotic Adventures of the Three Musketeers,1992,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",The Erotic Adventures of the Three Musketeers (1992),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",Ring of the Musketeers [de],1992,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",Ring of the Musketeers [de] (1992),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",The Three Musketeers,1993,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",The Three Musketeers (1993),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",Revenge of the Musketeers,1994,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",Revenge of the Musketeers (French: La fille de d'Artagnan) (1994),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",The Musketeer,2001,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",The Musketeer (2001),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",La Femme Musketeer,2004,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",La Femme Musketeer (2004),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père","Mickey, Donald, Goofy: The Three Musketeers",2004,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père","Mickey, Donald, Goofy: The Three Musketeers (2004)",book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",Milady,2004,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",Milady (2004),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",Three Musketeers,2004,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père","Three Musketeers (Russian: Три мушкетёра, Tri mušketera) (2004)",book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",The Three Musketeers,2006,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",The Three Musketeers (Danish: De tre musketerer) (2006),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",The Three Musketeers: Saving the Crown,2007,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",The Three Musketeers: Saving the Crown (2007),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",The Three Musketeers,2008,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",The Three Musketeers (2008),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",Barbie and the Three Musketeers,2009,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",Barbie and the Three Musketeers (2009),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",The Three Musketeers,2011,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",The Three Musketeers (2011),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",3 Musketeers,2011,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",3 Musketeers (2011),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",The Three Musketeers,2013,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",The Three Musketeers (2013),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",The King's Musketeers,2018,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",The King's Musketeers (Italian: Moschettieri del re - La penultima missione) (2018),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",The King's Musketeers 2,2020,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",The King's Musketeers 2 (Italian: Tutti per 1 - 1 per tutti) (2020),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",Dogtanian and the Three Muskehounds,2021,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",Dogtanian and the Three Muskehounds (Spanish: D'Artacán y los Tres Mosqueperros) (2021),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",The Three Musketeers: D'Artagnan,2023,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",The Three Musketeers: D'Artagnan (2023),book_published_1850_or_earlier_or_unknown_year
The Three Musketeers,"Alexandre Dumas, père",The Three Musketeers: Milady,2023,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",The Three Musketeers: Milady (2023),book_published_1850_or_earlier_or_unknown_year
Twenty Years After,"Alexandre Dumas, père",The Return of the Musketeers,1989,"Twenty Years After (French: Vingt ans après) (1845), Alexandre Dumas, père",The Return of the Musketeers (1989),book_published_1850_or_earlier_or_unknown_year
Vanity Fair,William Makepeace Thackeray,Vanity Fair,2004,"Vanity Fair (1847–1848), William Makepeace Thackeray",Vanity Fair (2004),book_published_1850_or_earlier_or_unknown_year
The Vicomte of Bragelonne: Ten Years Later,"Alexandre Dumas, père",The Man in the Iron Mask,1985,"The Vicomte of Bragelonne: Ten Years Later (French: Le Vicomte de Bragelonne ou Dix ans plus tard) (1847–1850), Alexandre Dumas, père",The Man in the Iron Mask (1985),book_published_1850_or_earlier_or_unknown_year
The Vicomte of Bragelonne: Ten Years Later,"Alexandre Dumas, père",The Man in the Iron Mask,1998,"The Vicomte of Bragelonne: Ten Years Later (French: Le Vicomte de Bragelonne ou Dix ans plus tard) (1847–1850), Alexandre Dumas, père",The Man in the Iron Mask (1998),book_published_1850_or_earlier_or_unknown_year
Wieland,Charles Brockden Brown,Wieland,2024,"Wieland (1798), Charles Brockden Brown",Wieland (2024),book_published_1850_or_earlier_or_unknown_year
Wuthering Heights,Emily Brontë,Emily Brontë's Wuthering Heights,1992,"Wuthering Heights (1847), Emily Brontë",Emily Brontë's Wuthering Heights (1992),book_published_1850_or_earlier_or_unknown_year
Wuthering Heights,Emily Brontë,Wuthering Heights,2003,"Wuthering Heights (1847), Emily Brontë",Wuthering Heights (2003),book_published_1850_or_earlier_or_unknown_year
Wuthering Heights,Emily Brontë,Wuthering Heights,2011,"Wuthering Heights (1847), Emily Brontë",Wuthering Heights (2011),book_published_1850_or_earlier_or_unknown_year
The Adventures of Captain Alatriste,Arturo Pérez-Reverte,Alatriste,2006,"The Adventures of Captain Alatriste (Spanish: Las aventuras del capitán Alatriste) (1996–present) (series), Arturo Pérez-Reverte",Alatriste (2006),source_is_series_not_single_book
Biggles,W. E. Johns,Biggles: Adventures in Time,1986,"Biggles (1932–1968) (series), W. E. Johns",Biggles: Adventures in Time (1986),source_is_series_not_single_book
The Black Stallion,Walter Farley,The Black Stallion Returns,1983,"The Black Stallion (1941–1989) (series), Walter Farley",The Black Stallion Returns (1983),source_is_series_not_single_book
The Black Stallion,Walter Farley,The Young Black Stallion,2003,"The Black Stallion (1941–1989) (series), Walter Farley",The Young Black Stallion (2003),source_is_series_not_single_book
Bourne,Robert Ludlum and Eric Van Lustbader,The Bourne Identity,1988,"Bourne (1980–2012) (series), Robert Ludlum and Eric Van Lustbader",The Bourne Identity (1988),source_is_series_not_single_book
Bourne,Robert Ludlum and Eric Van Lustbader,The Bourne Identity,2002,"Bourne (1980–2012) (series), Robert Ludlum and Eric Van Lustbader",The Bourne Identity (2002),source_is_series_not_single_book
Bourne,Robert Ludlum and Eric Van Lustbader,The Bourne Supremacy,2004,"Bourne (1980–2012) (series), Robert Ludlum and Eric Van Lustbader",The Bourne Supremacy (2004),source_is_series_not_single_book
Bourne,Robert Ludlum and Eric Van Lustbader,The Bourne Ultimatum,2007,"Bourne (1980–2012) (series), Robert Ludlum and Eric Van Lustbader",The Bourne Ultimatum (2007),source_is_series_not_single_book
Bourne,Robert Ludlum and Eric Van Lustbader,The Bourne Legacy,2012,"Bourne (1980–2012) (series), Robert Ludlum and Eric Van Lustbader",The Bourne Legacy (2012),source_is_series_not_single_book
Bourne,Robert Ludlum and Eric Van Lustbader,Jason Bourne,2016,"Bourne (1980–2012) (series), Robert Ludlum and Eric Van Lustbader",Jason Bourne (2016),source_is_series_not_single_book
Bridget Jones,Helen Fielding,Bridget Jones's Diary,2001,"Bridget Jones (1996–2016) (series), Helen Fielding",Bridget Jones's Diary (2001),source_is_series_not_single_book
Bridget Jones,Helen Fielding,Bridget Jones: The Edge of Reason,2004,"Bridget Jones (1996–2016) (series), Helen Fielding",Bridget Jones: The Edge of Reason (2004),source_is_series_not_single_book
Bridget Jones,Helen Fielding,Bridget Jones's Baby,2016,"Bridget Jones (1996–2016) (series), Helen Fielding",Bridget Jones's Baby (2016),source_is_series_not_single_book
The Cheetah Girls,Deborah Gregory,The Cheetah Girls,2003,"The Cheetah Girls (1999–2006) (series), Deborah Gregory",The Cheetah Girls (2003),source_is_series_not_single_book
The Cheetah Girls,Deborah Gregory,The Cheetah Girls 2,2006,"The Cheetah Girls (1999–2006) (series), Deborah Gregory",The Cheetah Girls 2 (2006),source_is_series_not_single_book
The Cheetah Girls,Deborah Gregory,The Cheetah Girls: One World,2008,"The Cheetah Girls (1999–2006) (series), Deborah Gregory",The Cheetah Girls: One World (2008),source_is_series_not_single_book
The Chronicles of Narnia,C.S. Lewis,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"The Chronicles of Narnia (1950–1956) (series), C.S. Lewis","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",source_is_series_not_single_book
The Chronicles of Narnia,C.S. Lewis,The Chronicles of Narnia: Prince Caspian,2008,"The Chronicles of Narnia (1950–1956) (series), C.S. Lewis",The Chronicles of Narnia: Prince Caspian (2008),source_is_series_not_single_book
