Rank,Title,Domestic Gross,Year,is_book,is_book_match_src,is_book_match,imdb_rating,imdb_vote_count,runtime_minutes,movie_genre_raw,movie_release_month,mpaa_rating,distributor,book_avg_rating,book_ratings_count,book_reviews_count,book_page_count,book_series_indicator,book_description_length,goodreads_match_score
152,The Incredibles,261441092,2004,0,,,8.0,893908.0,115.0,"Action,Adventure,Animation",10.0,PG,,,,,,,,
153,Captain America: The Winter Soldier,259766572,2014,0,,,7.7,966298.0,136.0,"Action,Adventure,Sci-Fi",3.0,PG-13,Walt Disney Studios Motion Pictures | Disney+,,,,,,,
154,The Hobbit: The Desolation of Smaug,258387334,2013,1,wikipedia_raw,The Hobbit: The Desolation of Smaug (2013),7.8,750474.0,161.0,"Adventure,Fantasy",12.0,PG-13,Warner Bros. Entertainment | Netflix,4.25,7733.0,762.0,306.0,1.0,1859.0,100.0
155,The Lego Movie,257966122,2014,0,,,7.7,413157.0,100.0,"Action,Adventure,Animation",2.0,PG,,,,,,,,
156,Star Trek,257730019,2009,0,,,7.9,637015.0,127.0,"Action,Adventure,Sci-Fi",5.0,PG-13,Q866 | iTunes | Paramount Pictures | Netflix,,,,,,,
157,Project Hail Mary,256657974,2026,1,wikipedia_raw,Project Hail Mary (2026),,,156.0,"Drama,Sci-Fi,Thriller",3.0,PG-13,Metro-Goldwyn-Mayer | InterCom | Eagle Pictures,4.51,1377860.0,192984.0,476.0,0.0,268.0,
158,I Am Legend,256393010,2007,1,wikipedia_raw,I Am Legend (2007),7.2,872155.0,101.0,"Drama,Horror,Sci-Fi",12.0,PG-13,Netflix | InterCom,3.99,1761.0,79.0,,0.0,214.0,100.0
159,The Blind Side,255982860,2009,0,,,7.6,384953.0,129.0,"Biography,Drama,Sport",11.0,PG-13,Warner Bros. Entertainment | Netflix,,,,,,,
160,The Hobbit: The Battle of the Five Armies,255138261,2014,1,adaptation_dataset,The Hobbit: The Battle of the Five Armies,7.4,614733.0,144.0,"Adventure,Fantasy",12.0,PG-13,Warner Bros. Entertainment | Netflix,4.25,7733.0,762.0,306.0,1.0,1859.0,100.0
161,Mufasa: The Lion King,254567693,2024,0,,,6.6,81328.0,118.0,"Adventure,Animation,Drama",12.0,PG,,,,,,,,
162,The Hangover Part II,254464305,2011,0,,,6.5,574325.0,102.0,Comedy,5.0,R,Warner Bros. Entertainment | Netflix,,,,,,,
163,Despicable Me,251683815,2010,0,,,7.6,628971.0,95.0,"Adventure,Animation,Comedy",7.0,PG,,,,,,,,
164,Batman,251409241,1989,0,,,7.5,430464.0,126.0,"Action,Adventure",6.0,PG-13,Warner Bros. Entertainment | Netflix,,,,,,,
165,Night at the Museum,250863268,2006,0,,,6.5,407186.0,108.0,"Adventure,Comedy,Family",12.0,PG,Netflix | InterCom | Disney+,,,,,,,
166,Men in Black,250690539,1997,0,,,7.3,660425.0,98.0,"Action,Adventure,Comedy",7.0,PG-13,Columbia Pictures | Netflix,,,,,,,
167,Harry Potter and the Prisoner of Azkaban,250657586,2016,0,,,,,,,5.0,PG,,,,,,,,
168,Moana,248757044,2016,0,,,7.6,437166.0,107.0,"Adventure,Animation,Comedy",10.0,PG,,,,,,,,
169,Raiders of the Lost Ark,248159971,1981,0,,,8.4,1105569.0,115.0,"Action,Adventure",6.0,PG,Paramount Pictures | Netflix | MOKÉP | Disney+,,,,,,,
170,Toy Story 2,245852179,1999,0,,,7.9,665651.0,92.0,"Adventure,Animation,Comedy",10.0,G,,,,,,,,
171,Transformers: Age of Extinction,245439076,2014,0,,,5.6,348278.0,165.0,"Action,Adventure,Comedy",6.0,PG-13,Paramount Pictures | Netflix,,,,,,,
172,Cars,244082982,2006,0,,,7.3,530099.0,116.0,"Adventure,Animation,Comedy",6.0,G,Netflix | Fórum Hungary,,,,,,,
173,Ghostbusters,243640120,1984,0,,,7.8,484913.0,105.0,"Action,Comedy,Fantasy",6.0,PG,Netflix | InterCom,,,,,,,
174,Bruce Almighty,242829261,2003,0,,,6.8,467502.0,101.0,"Comedy,Fantasy",5.0,PG-13,Universal Pictures | Netflix | Disney+,,,,,,,
175,Twister,241830615,1996,0,,,6.6,250777.0,113.0,"Action,Adventure,Thriller",5.0,PG-13,Warner Bros. Entertainment | Netflix,,,,,,,
176,My Big Fat Greek Wedding,241438208,2002,0,,,6.6,150858.0,95.0,"Comedy,Drama,Romance",4.0,PG,IFC Films,,,,,,,
177,Maleficent,241410378,2014,0,,,6.9,422777.0,97.0,"Adventure,Drama,Family",5.0,PG,Netflix | Fórum Hungary | Walt Disney Studios Motion Pictures | Disney+,,,,,,,
178,Pirates of the Caribbean: On Stranger Tides,241071802,2011,1,adaptation_dataset,Pirates of the Caribbean: On Stranger Tides,6.6,604138.0,136.0,"Action,Adventure,Fantasy",5.0,PG-13,Netflix | Fórum Hungary | Disney+,3.86,4715.0,441.0,370.0,0.0,824.0,100.0
179,Shrek Forever After,238736787,2010,0,,,6.3,244136.0,93.0,"Adventure,Animation,Comedy",5.0,PG,,,,,,,,
180,Fast & Furious 6,238679850,2013,0,,,7.0,438381.0,130.0,"Action,Thriller",5.0,PG-13,Microsoft Store | Netflix | UIP-Dunafilm | Xfinity Streampix,,,,,,,
181,Brave,237283207,2012,0,,,7.1,476415.0,93.0,"Action,Adventure,Animation",6.0,PG,,,,,,,,
182,Sonic the Hedgehog 3,236115100,2024,0,,,6.9,78107.0,110.0,"Action,Adventure,Comedy",12.0,PG,Paramount Pictures | UIP-Dunafilm,,,,,,,
183,Oz the Great and Powerful,234911825,2013,1,wikipedia_raw,Oz the Great and Powerful (2013),6.3,221007.0,130.0,"Adventure,Family,Fantasy",3.0,PG,Netflix | Fórum Hungary | Walt Disney Studios Motion Pictures | Disney+,3.98,199.0,13.0,,1.0,389.0,100.0
184,Beverly Hills Cop,234760478,1984,0,,,7.4,231022.0,105.0,"Action,Comedy,Crime",12.0,R,Paramount Pictures | Netflix,,,,,,,
185,X-Men: The Last Stand,234362462,2006,0,,,6.6,570459.0,104.0,"Action,Adventure,Sci-Fi",5.0,PG-13,20th Century Studios | Netflix,,,,,,,
186,War of the Worlds,234280354,2005,1,wikipedia_raw,War of the Worlds (2005),6.6,504873.0,117.0,"Action,Adventure,Sci-Fi",6.0,PG-13,Netflix | UIP-Dunafilm | Disney+ | SkyShowtime,3.8,1777.0,167.0,199.0,0.0,1079.0,100.0
187,Fantastic Beasts and Where to Find Them,234037575,2016,0,,,7.2,538394.0,132.0,"Adventure,Family,Fantasy",11.0,PG-13,Warner Bros. Entertainment | InterCom,,,,,,,
188,X-Men: Days of Future Past,233921534,2014,0,,,7.9,785406.0,132.0,"Action,Adventure,Sci-Fi",5.0,PG-13,20th Century Studios | Netflix | InterCom | Disney+,,,,,,,
189,Cast Away,233632142,2000,0,,,7.8,685923.0,143.0,"Adventure,Drama,Romance",12.0,PG-13,Netflix | UIP-Dunafilm,,,,,,,
190,The Exorcist,233005644,1973,1,wikipedia_raw,The Exorcist (1973),8.1,496075.0,122.0,Horror,12.0,R,Warner Bros. Entertainment | Netflix,4.14,1251.0,99.0,400.0,1.0,839.0,100.0
191,Doctor Strange,232641920,2016,0,,,7.5,874181.0,115.0,"Action,Adventure,Fantasy",10.0,PG-13,Netflix | Walt Disney Studios Motion Pictures,,,,,,,
192,Toy Story,229947062,1995,0,,,8.3,1166239.0,81.0,"Adventure,Animation,Comedy",11.0,G,,,,,,,,
193,The Lost World: Jurassic Park,229086679,1997,1,wikipedia_raw,The Lost World: Jurassic Park (1997),6.6,475747.0,129.0,"Action,Adventure,Sci-Fi",5.0,PG-13,UIP-Dunafilm,3.97,1154.0,137.0,448.0,1.0,1176.0,100.0
194,Justice League,229024295,2017,0,,,6.0,503070.0,120.0,"Action,Adventure,Fantasy",11.0,PG-13,Warner Bros. Entertainment | Netflix | InterCom | HBO Max,,,,,,,
195,Star Trek Into Darkness,228778661,2013,0,,,7.7,509426.0,132.0,"Action,Adventure,Sci-Fi",5.0,PG-13,Paramount Pictures | Netflix | UIP-Dunafilm,,,,,,,
196,The Martian,228433663,2015,1,adaptation_dataset,The Martian,8.0,1000908.0,144.0,"Adventure,Drama,Sci-Fi",9.0,PG-13,iTunes | 20th Century Studios | Netflix,4.39,435440.0,49988.0,369.0,1.0,894.0,100.0
197,Signs,227966634,2002,0,,,6.8,412437.0,106.0,"Drama,Mystery,Sci-Fi",8.0,PG-13,Netflix | InterCom,,,,,,,
198,Hancock,227946274,2008,0,,,6.4,537247.0,92.0,"Action,Comedy,Drama",7.0,PG-13,Netflix | InterCom,,,,,,,
199,The Bourne Ultimatum,227471070,2007,1,wikipedia_raw,The Bourne Ultimatum (2007),8.0,682165.0,115.0,"Action,Mystery,Thriller",8.0,PG-13,Netflix | UIP-Dunafilm,4.08,67553.0,1119.0,725.0,1.0,161.0,
200,Logan,226277068,2017,0,,,8.1,920254.0,137.0,"Action,Drama,Sci-Fi",2.0,R,Microsoft Store | 20th Century Studios | Netflix | InterCom | Disney+,,,,,,,
201,Rush Hour 2,226164286,2001,0,,,6.7,258918.0,90.0,"Action,Comedy,Crime",8.0,PG-13,New Line Cinema | Netflix | InterCom,,,,,,,
202,The Fate of the Furious,226008385,2017,0,,,6.6,272852.0,136.0,"Action,Crime,Thriller",4.0,PG-13,Microsoft Store | Universal Pictures | UIP-Dunafilm | United International Pictures | Xfinity Streampix,,,,,,,
203,Shang-Chi and the Legend of the Ten Rings,224543292,2021,0,,,7.3,484602.0,132.0,"Action,Adventure,Fantasy",9.0,PG-13,Fórum Hungary | Walt Disney Studios Motion Pictures | Disney+,,,,,,,
204,WALL·E,223808164,2008,0,,,8.4,1311456.0,98.0,"Adventure,Animation,Family",6.0,G,,,,,,,,
205,Big Hero 6,222527828,2014,0,,,7.8,549872.0,102.0,"Action,Adventure,Animation",10.0,PG,,,,,,,,
206,Back to the Future,222476852,1985,0,,,8.5,1442118.0,116.0,"Adventure,Comedy,Sci-Fi",7.0,PG,Universal Pictures | Netflix | Ivi.ru,,,,,,,
207,Mission: Impossible - Fallout,220159104,2018,0,,,7.7,417693.0,147.0,"Action,Adventure,Thriller",7.0,PG-13,,,,,,,,
208,National Treasure: Book of Secrets,219964115,2007,0,,,6.5,266227.0,124.0,"Action,Adventure,Mystery",12.0,PG,Netflix | Fórum Hungary | Disney+,,,,,,,
209,Alvin and the Chipmunks: The Squeakquel,219614612,2009,0,,,4.6,60410.0,88.0,"Adventure,Animation,Comedy",12.0,PG,Netflix | InterCom | Disney+,,,,,,,
210,Mrs. Doubtfire,219195243,1993,1,wikipedia_raw,Mrs. Doubtfire (1993),7.1,314127.0,125.0,"Comedy,Drama,Family",11.0,PG-13,Netflix | InterCom | Disney+,3.62,1745.0,85.0,192.0,0.0,527.0,100.0
211,Beauty and the Beast,218967620,1991,0,,,8.0,503518.0,84.0,"Animation,Family,Fantasy",10.0,G,,,,,,,,
212,Ted,218815487,2012,0,,,6.9,706271.0,106.0,Comedy,6.0,R,Netflix | UIP-Dunafilm,,,,,,,
213,Wonka,218402312,2023,1,adaptation_dataset,Wonka,6.9,191530.0,116.0,"Adventure,Comedy,Family",12.0,PG,Warner Bros. Entertainment | InterCom | Warner Bros. Pictures,4.11,975.0,66.0,161.0,1.0,771.0,100.0
214,King Kong,218080025,2005,0,,,7.2,468914.0,187.0,"Action,Adventure,Romance",12.0,PG-13,Universal Pictures,,,,,,,
215,Ghost,217631306,1990,0,,,7.1,255317.0,126.0,"Drama,Fantasy,Romance",7.0,PG-13,Netflix | UIP-Dunafilm,,,,,,,
216,How to Train Your Dragon,217581231,2010,0,,,8.1,887218.0,98.0,"Action,Adventure,Animation",3.0,PG,,,,,,,,
217,The Da Vinci Code,217536138,2006,1,adaptation_dataset,The Da Vinci Code,6.7,484126.0,149.0,"Mystery,Thriller",5.0,PG-13,InterCom,3.79,695.0,135.0,632.0,1.0,1119.0,100.0
218,Aladdin,217350219,1992,0,,,8.0,498264.0,90.0,"Adventure,Animation,Comedy",11.0,G,,,,,,,,
219,Alvin and the Chipmunks,217326974,2007,0,,,5.3,104539.0,92.0,"Adventure,Animation,Comedy",12.0,PG,Netflix | InterCom | Disney+,,,,,,,
220,Saving Private Ryan,217049603,1998,0,,,8.6,1628080.0,169.0,"Drama,War",7.0,R,Paramount Pictures | DreamWorks | UIP-Dunafilm,,,,,,,
221,Bohemian Rhapsody,216668042,2018,0,,,7.9,641074.0,134.0,"Biography,Drama,Music",10.0,PG-13,Netflix | Walt Disney Studios Motion Pictures | Disney+,,,,,,,
222,Ant-Man and the Wasp,216648740,2018,0,,,7.0,491547.0,118.0,"Action,Adventure,Comedy",7.0,PG-13,Walt Disney Studios Motion Pictures,,,,,,,
223,Madagascar 3: Europe's Most Wanted,216391482,2012,0,,,6.8,215821.0,93.0,"Adventure,Animation,Comedy",6.0,PG,,,,,,,,
224,Kung Fu Panda,216064546,2008,0,,,7.6,575090.0,92.0,"Action,Adventure,Animation",6.0,PG,,,,,,,,
225,Mission: Impossible II,215409889,2000,0,,,6.1,412145.0,123.0,"Action,Adventure,Thriller",5.0,PG-13,,,,,,,,
226,A Star Is Born,215333122,2018,0,,,7.6,446987.0,136.0,"Drama,Music,Romance",10.0,R,Warner Bros. Entertainment | Netflix,,,,,,,
227,X2: X-Men United,214949694,2003,0,,,7.4,609712.0,134.0,"Action,Sci-Fi,Thriller",,,,,,,,,,
228,Ant-Man and the Wasp: Quantumania,214504909,2023,0,,,6.0,266913.0,124.0,"Action,Adventure,Comedy",2.0,PG-13,Fórum Hungary | Walt Disney Studios Motion Pictures | The Walt Disney Company France | Disney+,,,,,,,
229,The Lorax,214494550,2012,0,,,6.4,142944.0,86.0,"Adventure,Animation,Comedy",3.0,PG,,,,,,,,
230,Solo: A Star Wars Story,213767512,2018,0,,,6.9,406936.0,135.0,"Action,Adventure,Sci-Fi",5.0,PG-13,Walt Disney Studios Motion Pictures | Disney+,,,,,,,
231,Venom: Let There Be Carnage,213550366,2021,0,,,5.9,301458.0,97.0,"Action,Adventure,Crime",9.0,PG-13,InterCom,,,,,,,
232,Venom,213515506,2018,0,,,6.6,602588.0,112.0,"Action,Adventure,Sci-Fi",9.0,PG-13,Netflix | InterCom | Sony Pictures Releasing,,,,,,,
233,Austin Powers in Goldmember,213307889,2002,0,,,6.3,233924.0,94.0,"Action,Adventure,Comedy",7.0,PG-13,Netflix | InterCom,,,,,,,
234,It: Chapter Two,211622525,2019,1,adaptation_dataset,It Chapter Two,6.5,351702.0,169.0,"Drama,Fantasy,Horror",9.0,R,New Line Cinema | Warner Bros. Entertainment | InterCom,4.24,1288572.0,44721.0,1184.0,0.0,140.0,0.0
235,300,210629101,2007,0,,,7.6,908848.0,117.0,"Action,Drama",3.0,R,Warner Bros. Entertainment | Netflix | InterCom,,,,,,,
236,Coco,210460015,2017,0,,,8.4,698963.0,105.0,"Adventure,Animation,Drama",10.0,PG,,,,,,,,
237,Fast Five,209837675,2011,0,,,7.3,431468.0,130.0,"Action,Crime,Thriller",4.0,PG-13,Microsoft Store | Universal Pictures | UIP-Dunafilm | Xfinity Streampix,,,,,,,
238,Mission: Impossible - Ghost Protocol,209397903,2011,0,,,7.4,563361.0,132.0,"Action,Adventure,Thriller",12.0,PG-13,,,,,,,,
239,Wedding Crashers,209273411,2005,0,,,7.0,396340.0,119.0,"Comedy,Romance",7.0,R,Netflix | InterCom,,,,,,,
240,Sherlock Holmes,209028679,2009,0,,,7.5,704250.0,128.0,"Action,Adventure,Mystery",12.0,PG-13,Netflix | InterCom,,,,,,,
241,Dawn of the Planet of the Apes,208545589,2014,1,wikipedia_raw,Dawn of the Planet of the Apes (2014),7.6,509665.0,130.0,"Action,Adventure,Drama",7.0,PG-13,Netflix | InterCom,3.91,304.0,45.0,128.0,1.0,1124.0,100.0
242,Batman Begins,206863479,2005,0,,,8.2,1703082.0,140.0,"Action,Crime,Drama",6.0,PG-13,Netflix | InterCom,,,,,,,
243,Charlie and the Chocolate Factory,206459076,2005,1,wikipedia_raw,Charlie and the Chocolate Factory (2005),6.7,568361.0,115.0,"Adventure,Comedy,Family",7.0,PG,Warner Bros. Entertainment | Netflix | InterCom | Warner Bros. Pictures,4.11,975.0,66.0,161.0,1.0,771.0,100.0
244,Ratatouille,206445654,2007,0,,,8.1,934564.0,111.0,"Adventure,Animation,Comedy",6.0,G,,,,,,,,
245,Thor: The Dark World,206362140,2013,0,,,6.7,773194.0,112.0,"Action,Adventure,Fantasy",10.0,PG-13,Walt Disney Studios Motion Pictures | Disney+,,,,,,,
246,Bad Boys for Life,206305244,2020,0,,,6.5,196046.0,124.0,"Action,Comedy,Crime",1.0,R,iTunes | InterCom | Sony Pictures Motion Picture Group,,,,,,,
247,Austin Powers: The Spy Who Shagged Me,206040086,1999,0,,,6.7,261732.0,95.0,"Action,Adventure,Comedy",6.0,PG-13,New Line Cinema | Netflix,,,,,,,
248,Terminator 2: Judgment Day,205881154,1991,0,,,8.6,1277127.0,137.0,"Action,Adventure,Sci-Fi",7.0,R,iTunes | TriStar Pictures | Netflix,,,,,,,
249,The Amazing Spider-Man 2,203605622,2014,0,,,6.6,585293.0,142.0,"Action,Adventure,Sci-Fi",4.0,PG-13,Sony Pictures | Netflix,,,,,,,
250,Interstellar,203227580,2014,0,,,8.7,2494574.0,169.0,"Adventure,Drama,Sci-Fi",11.0,PG-13,Netflix | InterCom,,,,,,,
251,World War Z,202807711,2013,0,,,7.0,778619.0,116.0,"Action,Adventure,Horror",6.0,PG-13,Paramount Pictures | Netflix | UIP-Dunafilm,,,,,,,
252,The Mummy Returns,202804895,2001,0,,,6.4,365780.0,130.0,"Action,Adventure,Fantasy",5.0,PG-13,Universal Pictures | Netflix | UIP-Dunafilm,,,,,,,
253,Armageddon,201578182,1998,0,,,6.7,477217.0,151.0,"Action,Adventure,Sci-Fi",7.0,PG-13,Netflix | InterCom | Disney+,,,,,,,
254,Cinderella,201151353,2015,0,,,6.9,204306.0,105.0,"Adventure,Drama,Family",3.0,PG,Netflix | Fórum Hungary | Walt Disney Studios Motion Pictures,,,,,,,
255,Ralph Breaks the Internet,201091711,2018,0,,,7.0,203785.0,112.0,"Adventure,Animation,Comedy",11.0,PG,,,,,,,,
256,Gone with the Wind,200882193,1939,1,wikipedia_raw,Gone with the Wind (1939),8.2,355137.0,238.0,"Drama,Romance,War",12.0,G,Loews Cineplex Entertainment | Netflix | HBO Max,4.28,3159.0,394.0,1037.0,0.0,883.0,100.0
257,Tangled,200821936,2010,0,,,7.7,541346.0,100.0,"Adventure,Animation,Comedy",11.0,PG,,,,,,,,
258,Godzilla,200676069,2014,0,,,6.4,462754.0,123.0,"Action,Adventure,Sci-Fi",5.0,PG-13,Warner Bros. Entertainment | Netflix | InterCom,,,,,,,
259,Captain America: Brave New World,200500001,2025,0,,,5.6,178859.0,118.0,"Action,Adventure,Sci-Fi",2.0,PG-13,Fórum Hungary | Walt Disney Studios Motion Pictures,,,,,,,
260,Superman Returns,200081192,2006,0,,,6.1,302395.0,154.0,"Action,Adventure,Sci-Fi",6.0,PG-13,Netflix | InterCom,,,,,,,
261,Spectre,200074609,2015,0,,,6.8,493864.0,148.0,"Action,Adventure,Thriller",10.0,PG-13,Fórum Hungary | Sony Pictures Releasing,,,,,,,
262,Pearl Harbor,198542554,2001,0,,,6.3,368203.0,183.0,"Action,Drama,Romance",5.0,PG-13,Netflix | InterCom | Disney+,,,,,,,
263,Monsters vs. Aliens,198351526,2009,0,,,6.4,187786.0,94.0,"Action,Adventure,Animation",3.0,PG,,,,,,,,
264,Happy Feet,198000317,2006,0,,,6.4,212858.0,108.0,"Adventure,Animation,Comedy",11.0,PG,Warner Bros. Entertainment | Netflix | InterCom,,,,,,,
265,Mission: Impossible - The Final Reckoning,197413515,2025,0,,,7.2,220900.0,169.0,"Action,Adventure,Thriller",5.0,PG-13,,,,,,,,
266,Indiana Jones and the Last Crusade,197171806,1989,0,,,8.2,860213.0,127.0,"Action,Adventure",5.0,PG-13,Paramount Pictures | Netflix | United International Pictures | Disney+,,,,,,,
267,Ice Age: Dawn of the Dinosaurs,196573705,2009,0,,,6.9,284244.0,94.0,"Adventure,Animation,Comedy",6.0,PG,20th Century Studios | Netflix | InterCom | Disney+,,,,,,,
268,Godzilla x Kong: The New Empire,196350016,2024,0,,,6.0,133246.0,115.0,"Action,Adventure,Fantasy",3.0,PG-13,Warner Bros. Entertainment,,,,,,,
269,Twilight,195553813,2008,1,wikipedia_raw,Twilight (2008),5.4,523544.0,122.0,"Drama,Fantasy,Romance",11.0,PG-13,Summit Entertainment | Netflix | Disney+,3.93,1493.0,218.0,224.0,0.0,1055.0,100.0
270,Ice Age 2: The Meltdown,195330621,2006,0,,,6.8,316559.0,91.0,"Adventure,Animation,Comedy",3.0,PG,,,,,,,,
271,Mission: Impossible - Rogue Nation,195042377,2015,0,,,7.4,444114.0,131.0,"Action,Adventure,Thriller",7.0,PG-13,,,,,,,,
272,Madagascar,194820396,2005,0,,,6.9,476244.0,86.0,"Adventure,Animation,Comedy",5.0,PG,,,,,,,,
273,Men in Black II,193735288,2002,0,,,6.2,429490.0,88.0,"Action,Adventure,Comedy",7.0,PG-13,Columbia Pictures | Netflix | Sony Pictures Motion Picture Group,,,,,,,
274,Kung Fu Panda 4,193590620,2024,0,,,6.3,79969.0,94.0,"Action,Adventure,Animation",3.0,PG,,,,,,,,
275,Bad Boys: Ride or Die,193573217,2024,0,,,6.5,111824.0,115.0,"Action,Adventure,Comedy",6.0,R,Columbia Pictures | InterCom,,,,,,,
276,22 Jump Street,191719337,2014,0,,,7.0,437181.0,112.0,"Action,Comedy,Crime",6.0,R,Netflix | InterCom,,,,,,,
277,Cars 2,191452396,2011,0,,,6.2,252888.0,106.0,"Adventure,Animation,Comedy",6.0,G,Microsoft Store | Netflix | Fórum Hungary,,,,,,,
278,Teenage Mutant Ninja Turtles,191204754,2014,0,,,5.8,229388.0,101.0,"Action,Adventure,Animation",8.0,PG-13,Paramount Pictures,,,,,,,
279,The Polar Express,191019448,2005,0,,,6.6,270232.0,100.0,"Adventure,Animation,Family",11.0,G,,,,,,,,
280,Sonic the Hedgehog 2,190872904,2022,0,,,6.5,114780.0,122.0,"Action,Adventure,Comedy",3.0,PG,Paramount Pictures,,,,,,,
281,Thunderbolts*,190274328,2025,0,,,7.1,268561.0,127.0,"Action,Adventure,Crime",4.0,PG-13,Fórum Hungary | Walt Disney Studios Motion Pictures,,,,,,,
282,Spider-Man: Into the Spider-Verse,190241310,2018,0,,,8.4,779759.0,117.0,"Action,Adventure,Animation",12.0,PG,iTunes | Sony Pictures,,,,,,,
283,Grease,190071103,1978,0,,,7.2,324480.0,110.0,"Comedy,Musical,Romance",6.0,PG,Paramount Pictures | Netflix,,,,,,,
284,Dunkirk,189740665,2017,0,,,7.8,802187.0,106.0,"Action,Drama,History",7.0,PG-13,Warner Bros. Entertainment | InterCom,,,,,,,
285,F1: The Movie,189642436,2025,0,,,7.6,330042.0,155.0,"Action,Drama,Sport",,,,,,,,,,
286,Wreck-It Ralph,189422889,2012,0,,,7.7,495314.0,101.0,"Adventure,Animation,Comedy",11.0,PG,Microsoft Store | Walt Disney Pictures,,,,,,,
287,A Quiet Place,188024361,2018,0,,,7.5,653511.0,90.0,"Drama,Horror,Sci-Fi",4.0,PG-13,Paramount Pictures | UIP-Dunafilm,,,,,,,
288,Gladiator,187705427,2000,0,,,8.5,1836381.0,155.0,"Action,Adventure,Drama",5.0,R,DreamWorks | UIP-Dunafilm,,,,,,,
289,The Croods,187168425,2013,0,,,7.1,250072.0,98.0,"Adventure,Animation,Comedy",3.0,PG,,,,,,,,
290,John Wick: Chapter 4,187131806,2023,0,,,7.6,407135.0,169.0,"Action,Crime,Thriller",3.0,R,Fórum Hungary | 01 Distribution | Leonine Distribution | Metropolitan Filmexport,,,,,,,
291,Sherlock Holmes: A Game of Shadows,186848418,2011,0,,,7.4,500815.0,129.0,"Action,Adventure,Mystery",11.0,PG-13,Warner Bros. Entertainment | Netflix,,,,,,,
292,The Day After Tomorrow,186740799,2004,0,,,6.5,509594.0,124.0,"Action,Adventure,Sci-Fi",5.0,PG-13,Netflix | InterCom | Disney+,,,,,,,
293,Mr. & Mrs. Smith,186336279,2005,0,,,6.5,589741.0,120.0,"Action,Comedy,Crime",6.0,PG-13,Netflix | Fórum Hungary,,,,,,,
294,Puss in Boots: The Last Wish,186090535,2022,0,,,7.8,221997.0,102.0,"Action,Adventure,Animation",12.0,PG,,,,,,,,
295,Snow White and the Seven Dwarfs,184925486,1937,0,,,7.6,237758.0,83.0,"Adventure,Animation,Family",1.0,G,,,,,,,,
296,Pitch Perfect 2,184296230,2015,0,,,6.4,179538.0,115.0,"Comedy,Music",5.0,PG-13,Universal Pictures | UIP-Dunafilm,,,,,,,
297,The Revenant,184247394,2015,0,,,8.0,943543.0,156.0,"Adventure,Drama,Western",12.0,R,20th Century Studios | Netflix,,,,,,,
298,Dances with Wolves,184208848,1990,1,adaptation_dataset,Dances with Wolves,8.0,308736.0,181.0,"Adventure,Drama,Western",3.0,PG-13,Orion Pictures | Netflix,4.19,250.0,8.0,,1.0,310.0,100.0
299,Sound of Freedom,184178046,2023,0,,,7.6,136402.0,131.0,"Biography,Crime,Drama",7.0,PG-13,"20th Century Studios Home Entertainment | ADS Service | Saje distribution | Angel, Inc.",,,,,,,
300,Batman Forever,184069126,1995,0,,,5.5,281107.0,121.0,"Action,Adventure",6.0,PG-13,Warner Bros. Entertainment | Netflix | InterCom,,,,,,,
301,The Fugitive,183875760,1993,0,,,7.8,344494.0,130.0,"Action,Crime,Drama",8.0,PG-13,Netflix | InterCom,,,,,,,
302,Black Widow,183651655,2021,0,,,6.6,473709.0,134.0,"Action,Adventure,Sci-Fi",7.0,PG-13,Fórum Hungary | Walt Disney Studios Motion Pictures | Disney+,,,,,,,
303,Ocean's Eleven,183417150,2001,0,,,7.7,669743.0,116.0,"Crime,Thriller",12.0,PG-13,Netflix | InterCom,,,,,,,
304,The Simpsons Movie,183135014,2007,0,,,7.3,362578.0,87.0,"Adventure,Animation,Comedy",7.0,PG-13,,,,,,,,
305,What Women Want,182811707,2000,0,,,6.5,238494.0,127.0,"Comedy,Fantasy,Romance",12.0,PG-13,Paramount Pictures | Netflix,,,,,,,
306,The Perfect Storm,182618434,2000,0,,,6.5,187730.0,130.0,"Action,Adventure,Drama",6.0,PG-13,Netflix | InterCom,,,,,,,
307,Lincoln,182207973,2012,0,,,7.3,283923.0,150.0,"Biography,Drama,History",11.0,PG-13,20th Century Studios | Touchstone Pictures | Netflix | InterCom,,,,,,,
308,Liar Liar,181410615,1997,0,,,6.9,360915.0,86.0,"Comedy,Fantasy",3.0,PG-13,Universal Pictures | Netflix,,,,,,,
309,Jurassic Park III,181171875,2001,1,wikipedia_raw,Jurassic Park III (2001),6.0,368360.0,92.0,"Action,Adventure,Sci-Fi",7.0,PG-13,Universal Pictures | Netflix | UIP-Dunafilm | Xfinity Streampix,3.97,1154.0,137.0,448.0,1.0,1176.0,100.0
310,Thor,181030624,2011,0,,,7.0,960522.0,115.0,"Action,Fantasy",4.0,PG-13,Paramount Pictures | Walt Disney Studios Motion Pictures | Disney+,,,,,,,
311,Mission: Impossible,180981856,1996,0,,,7.2,515216.0,110.0,"Action,Adventure,Thriller",5.0,PG-13,iTunes | Paramount Pictures | Netflix | UIP-Dunafilm,,,,,,,
312,Taylor Swift: The Eras Tour,180756269,2023,0,,,8.0,25711.0,169.0,"Documentary,Music,Musical",10.0,PG-13,AMC Theatres | Cinemark | Disney+ | Trafalgar Releasing,,,,,,,
313,Top Gun,180258178,1986,0,,,7.0,547612.0,110.0,"Action,Drama",5.0,PG,Paramount Pictures | Netflix,,,,,,,
